produto-id;id-acabamento;id-cor;id-fabricante;produto-imagem;produto-marca;produto-nome;produto-nome-resumido
90319236;1;15;2;https://cdn.leroymerlin.com.br/products/acrilica_glasurit_fosco_branco_neve_3.6l_90319236_df45_600x600.jpeg;Suvinil;Tinta Acrilica Glasurit Fosco Branco Neve 3.6L Suvinil;Acrilica Glasurit Fosco Branco Neve 3.6L
89706064;1;3;3;https://cdn.leroymerlin.com.br/products/tinta_acrilica_premium_impermeabilizante_fosco_protecao_sol_e_chuva_mergulho_sereno_18l_coral_89706064_6f69_600x600.jpeg;Coral;Tinta Acrílica Premium Impermeabilizante Fosco Proteção Sol & Chuva Mergulho Sereno 18L Coral;Tinta Acrílica Premium Impermeabilizante Fos...
90319215;1;8;2;https://cdn.leroymerlin.com.br/products/suv_prot_total_fo_marfim_18l_90319215_0001_600x600.jpg;Suvinil;Tinta Proteção Total Fosco Marfim 18L Suvinil;Proteção Total Fosco Marfim 18L
87243100;1;13;4;https://cdn.leroymerlin.com.br/products/tinta_acrilica_fosco_novacor_parede_standard_erva_doce_3.6l__87243100_0001_600x600.jpg;Sherwin Williams;Tinta Acrílica Fosco Novacor Parede Mais Rendimento Standard Erva Doce 3.6L Sherwin Williams;Tinta Acrílica Fosco Novacor Parede Standard...
87949624;1;13;2;https://cdn.leroymerlin.com.br/products/tinta_acrilica_fosco_completo_premium_erva_doce_18l_suvinil_87949624_31c0_600x600.jpg;Suvinil;Tinta Acrílica Fosco Completo Premium Erva Doce 18L Suvinil;Tinta Acrílica Fosco Completo Premium Erva D...
85185142;3;15;4;https://cdn.leroymerlin.com.br/products/tinta_acrilica_semibrilho_metalatex_brilho_branco_18l__85185142_0001_600x600.jpg;Sherwin Williams;Tinta Acrílica Semibrilho Metalatex Brilho Perfeito Premium Branco 18L Sherwin Williams;Tinta Acrílica Semibrilho Metalatex Brilho B...
87254573;2;13;4;https://cdn.leroymerlin.com.br/products/tinta_acrilica_acetinado_metalatex_requinte_superlavavel_erva_doce_3_60_l_sherwin_williams_87254573_0003.jpg_600x600.jpg;Sherwin Williams;Tinta Acrílica Acetinado Metalatex Requinte Superlavável Premium Erva Doce 3.6L Sherwin Williams;Tinta Acrílica Requinte Superlavável Erva Do...
87352370;2;16;4;https://cdn.leroymerlin.com.br/products/tinta_para_litoral_acetinado__metalatex_terracota_18_l_sherwin_williams_87352370_0001.jpg_600x600.jpg;Sherwin Williams;Tinta para Litoral Acetinado Metalatex Terracota 18L Sherwin Williams;Tinta para Litoral Acetinado Metalatex Terra...
87247391;1;4;4;https://cdn.leroymerlin.com.br/products/tinta_acrilica_fosco_metalatex_laranja_18l_sherwin_williams_87247391_0001_600x600.jpg;Sherwin Williams;Tinta Acrílica Fosco Perfeito Metalatex Premium Laranja 18L Sherwin Williams;Tinta Acrílica Fosco Metalatex Laranja 18L S...
89732895;2;17;3;https://cdn.leroymerlin.com.br/products/tinta_acrilica_acetinada_acabamento_de_seda_premium_zepelim_18l_coral_89732895_d6bc_600x600.jpeg;Coral;Tinta Acrílica Acetinada Acabamento de Seda Premium Zepelim 18L Coral;Tinta Acrílica Acetinada Acabamento de Seda...
